seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
19,e-lmpc,1,0.0411136159497015,58.8236186396435,0.00595380705882353,0.0114452,0.5060736,0.0235294117647059,0.00184688707028613,0,6.59432192406939e-07,1,0.6414057
20,e-lmpc,1,0.0153547026009865,11.9325378643376,0.00613328483146067,0.0122365,1.0917247,0,0,0,7.03149787284474e-08,1,1.3815691
21,e-lmpc,1,0.0610799149585979,70.5834180773012,0.00744333766233766,0.0138415,0.573137,0.0227272727272727,0.00558280211028972,0,2.91279823372292e-07,1,0.7279099
22,e-lmpc,1,0.0249945651812373,13.0097949638839,0.00714267160493827,0.0152061,1.1571128,0,0,0,1.82718338237464e-07,1,1.4402653
23,e-lmpc,1,0.0191154487898941,24.5517496139115,0.00694583894736842,0.0139465,0.6598547,0,0,0,3.77347596725031e-07,1,0.8238319
24,e-lmpc,1,0.0168816548025596,11.3604914677622,0.00658877405405406,0.0155266,1.2189232,0,0,0,2.34614930150201e-07,1,1.5261234
25,e-lmpc,1,0.0241570014941626,14.1720717098952,0.00839684927536232,0.0200766,1.1587652,0.0181159420289855,0.000514650580035525,0,1.15927093702339e-07,1,1.452252
26,e-lmpc,1,0.0203850362887607,18.9067879993773,0.0141497585365854,1.0818202,2.3205604,0,0,0,1.91632423707233e-07,1,5.2069917
27,e-lmpc,1,0.0144382907558662,15.7538384775392,0.00753737845303868,0.0173014,1.3642655,0,0,0,1.57131047728853e-07,1,1.6965528
28,e-lmpc,1,0.139687606192952,157.353172950004,0.0111890259259259,0.0195999,0.6042074,0.00462962962962963,0.0302442438276733,0,3.59291014717655e-07,1,0.7617766
29,e-lmpc,1,0.0572147360942921,24.95707849515,0.010581963963964,0.0186911,1.174598,0,0,0,3.60355453921102e-07,1,1.4377012
30,e-lmpc,1,0.018249692489143,12.4105375631484,0.0111500151515152,0.0185289,1.8397525,0,0,0,1.090140600013e-08,1,2.2890301
31,e-lmpc,1,0.0171899537597726,19.8946112125695,0.00989553771929825,0.017265,1.1280913,0.00219298245614035,0.00602609609690496,0,1.73269206982241e-07,1,1.3774442
32,e-lmpc,1,0.0389016678052316,18.9408792423051,0.0100297663793103,0.0159226,1.1634529,0.00431034482758621,0.00381837527588047,0,4.93584444427597e-08,1,1.4236345
33,e-lmpc,1,0.0615079754818618,51.2832925132358,0.010211186407767,0.0195499,1.0517522,0.0194174757281553,0.000841449615768042,0,1.5413053393587e-06,1,1.303475
34,e-lmpc,1,0.0129612019344367,15.4804171661584,0.00647299219858156,0.0118389,0.9126919,0,0,0,1.66140772250856e-08,1,1.124878
35,e-lmpc,1,0.0833337664561492,127.693108679022,0.00991533292682927,0.0178264,0.8130573,0.115853658536585,0.00177660013344383,0,2.32209735884226e-08,1,1.0112858
36,e-lmpc,1,0.0256983766940878,37.5348540019297,0.01000527125,0.0156652,0.8004217,0,0,0,4.49904444366211e-07,1,0.9988826
